Primary Dealer|Holding Company|Ticker|Start Date|End Date|Permco|gvkey
ABN AMRO INCORPORATED|N/A|ABN|9/29/1998|9/15/2006|31989|015504
AUBREY G. LANSTON & CO., INC.|Citigroup Inc.|C (NYSE)|5/19/1960|4/17/2000|20483|003243
BA Securities|Bank of America Corporation|BAC (NYSE)|4/18/1994|9/30/1997|437|007647
Banc One|JPMorgan Chase & Co. (Acquired by JPMorgan Chase)|JPM (NYSE)|4/1/1999|8/1/2004|20436|002968
Bank of America|Bank of America Corporation|BAC (NYSE)|11/17/1971|4/15/1994|437|007647
Bank of America|Bank of America Corporation|BAC (NYSE)|5/17/1999|11/1/2010|3151|007647
BANK OF NOVA SCOTIA, NEW YORK AGENCY|The Bank of Nova Scotia (Scotiabank)|BNS (NYSE, TSX)|10/4/2011|Current|43264|015582
Bankers Trust|Bankers Trust New York Corporation|N/A|5/19/1960|10/22/1997|20266|002029
BARCLAYS CAPITAL INC.|Barclays PLC|BARC (LSE)|4/1/1998|Current|20269|012673
Barclays De Zoete Wedd|Barclays PLC|BARC (LSE)|12/7/1989|6/30/1996|20269|012673
Bartow Leeds|Merrill Lynch|N/A|5/19/1960|6/14/1962|21190|007267
Bear Stearns|JPMorgan Chase & Co. (Acquired by JPMorgan Chase)|JPM (NYSE)|6/10/1981|10/1/2008|20436|002968
Becker Paribas Inc.|Banque Paribas|BNP (Euronext Paris)|11/17/1971|9/10/1984||
BLYTH & CO., INC.|Merrill Lynch & Co., Inc|N/A|4/16/1962|1/14/1970|21190|007267
BLYTH EASTMAN DILLON CAPITAL MARKETS|Paine Webber Incorporated|PWJ|12/5/1974|12/31/1979|21359|008299
BMO CAPITAL MARKETS CORP.|Bank of Montreal|BMO (NYSE, TSX)|10/4/2011|Current|29146|015580
BMO Nesbitt|Bank of Montreal|BMO (NYSE, TSX)|2/15/2000|3/31/2002|29146|015580
BNP PARIBAS SECURITIES CORP.|BNP Paribas Group|BNP (Euronext Paris)|9/15/2000|Current|29146|015580
BNY|Bank of New York Mellon Corporation|BK (NYSE)|8/1/1989|8/9/1990|20265|002019
Brophy, Gestal, Knight|N/A|N/A|5/8/1987|6/19/1988||
BT Alex Brown|Deutsche Bank AG|DB (XETRA)|10/23/1997|6/4/1999|42291|015576
BZW|Barclays PLC|BARC (LSE)|7/1/1996|3/31/1998|20269|012673
CANTOR FITZGERALD & CO.|Cantor Fitzgerald & Company|BGCP|8/1/2006|Current|17502|127377
CARROLL MCENTEE & MCGINLEY INC.|N/A|N/A|9/29/1976|5/6/1994||
C.F. CHILDS & CO., INC|N/A|N/A|5/19/1960|6/29/1965||
Chase|JPMorgan Chase & Co.|JPM (NYSE)|7/15/1970|4/30/2001|20436|002968
CHEMICAL SECURITIES INC|Chemical Bank Corporation|CHL (NYSE)|5/19/1960|3/31/1996||
CIBC|Canadian Imperial Bank of Commerce|CM (NYSE, TSX)|3/27/1996|2/8/2007|29148|015581
CITIGROUP GLOBAL MARKETS INC.|Citigroup Inc.|C (NYSE)|6/15/1961|Current|20483|003243
CONTINENTAL BANK, NATIONAL ASSOC.|Continental Illinois Corporation|CIC|5/19/1960|8/30/1991|20511|003463
Country Natwest|NatWest Group plc (formerly RBS)|NWG (LSE)|9/29/1988|1/13/1989|28711|015634
COUNTRYWIDE SECURITIES CORPORATION|Bank of America Corporation|BAC (NYSE)|1/15/2004|7/15/2008|3151|007647
CREDIT SUISSE SECURITIES (USA) LLC|Credit Suisse Group AG|CSGN (SIX Swiss Ex)|10/12/1993|Current|42125|028838
CRT GOVERNMENT SECURITIES,INC.|Credit Suisse Group AG|CS|12/22/1987|7/5/1993|42125|028838
DAIWA CAPITAL MARKETS AMERICA INC.|Daiwa Securities Group Inc. (Japan)|8601 (Tokyo)|12/11/1986|Current||
Dean Witter Reynolds|Morgan Stanley|MS (NYSE)|11/2/1977|4/30/1998|21224|012124
DEUTSCHE BANK SECURITIES INC.|Deutsche Bank AG|DBK (XETRA)|12/13/1990|Current|42291|015576
Dillon Read|UBS Group AG|UBSG (SIX Swiss Ex)|6/24/1988|9/2/1997|37504|144496
DISCOUNT CORPORATION OF NEW YORK|The Bank of New York Company, Inc. (BNY)|N/A|5/19/1960|8/10/1993|20265|002019
DLJ SECURITIES CORPORATION|Credit Suisse Group AG|CSGN (SIX Swiss Ex)|3/6/1974|1/16/1985|42125|028838
DLJ SECURITIES CORPORATION|Credit Suisse Group AG|CSGN (SIX Swiss Ex)|10/25/1995|12/31/2000|42125|028838
Dresdner Kleinwort|Dresdner Bank AG (historical, now part of Commerzbank)|CBK (XETRA)|5/8/1997|6/26/2009|1386|015577
Drexel Burnham Lambert|N/A|N/A|5/19/1960|3/28/1990||
D.W. RICH & CO., INC|N/A|N/A|5/19/1960|12/31/1969||
EASTBRIDGE CAPITAL INC.|N/A|N/A|6/18/1992|5/29/1998||
FI Dupont|N/A|N/A|12/12/1968|7/18/1973||
First Boston|Credit Suisse Group AG|CSGN (SIX Swiss Ex)|5/19/1960|10/11/1993|42125|028838
First Chicago|JPMorgan Chase & Co.|JPM (NYSE)|5/19/1960|3/31/1999|20436|002968
First Interstate|First Interstate Bancorp|I.1|7/31/1964|6/17/1988|20720|004710
First N.B. of Boston|BANKBOSTON CORP|BKB.2|3/21/1983|11/17/1985|20264|002014
FIRST PENNCO SEC. INC.|N/A|N/A|3/7/1974|8/27/1980||
FUJI SECURITIES INC.|Mizuho Financial Group, Inc.|8411 (Tokyo)|12/28/1989|3/31/2002|51429|248136
GOLDMAN, SACHS & CO.|The Goldman Sachs Group, Inc.|GS (NYSE)|12/4/1974|Current|35048|114628
GREENWICH CAPITAL MARKETS, INC.|National Westminster Bank|NW.1|7/31/1984|4/1/2009|21264|013294
HARRIS GOVERNMENT SECURITIES|N/A|N/A|7/15/1965|5/31/1995||
HSBC SECURITIES (USA) INC.|HSBC Holdings PLC|HSBA (LSE)|5/9/1994|Current|35175|015509
E.F. Hutton & Co.|N/A|N/A|11/2/1977|12/31/1987|25422|005793
IRVING SECURITIES, INC.|Irving Trust Company|N/A|5/19/1960|7/31/1989||
JEFFERIES LLC|Jefferies LLC|JEF (NYSE)|6/18/2009|Current|21097|006682
J.P. MORGAN SECURITIES LLC|JPMorgan Chase & Co.|JPM (NYSE)|5/19/1960|Current|20436|002968
KIDDER, PEABODY & CO., INCORPORATED|General Electric Company|GE (NYSE)|2/7/1979|12/30/1994|20792|005047
KLEINWORT BENSON  GOV'T SEC., INC.|Kleinwort Benson Group|N/A|2/13/1980|12/27/1989||
Lehman|Lehman Brothers Holdings Inc. |N/A|2/22/1973|1/29/1974|21606|030128
Lehman|Lehman Brothers Holdings Inc. |N/A|11/25/1976|9/22/2008|21606|030128
L.F.ROTHSCHILD & CO., INC.|N/A|N/A|12/11/1986|1/17/1989|25825|012223
LLOYDS GOV'T SECURITIES, INC.|LLOYDS BANKING GROUP PLC|LLOY (LSE)|12/22/1987|4/28/1989|42417|015929
MALON S. ANDRUS INC.|N/A|N/A|5/19/1960|11/24/1965||
MANUFACTURERS HANOVER SECURITIES COR|Manufacturers Hanover Corporation|MHC|8/31/1983|12/31/1991|21150|007003
MERRILL LYNCH GOVERNMENT SEC. INC.|Merrill Lynch & Co., Inc|MER|5/19/1960|2/11/2009|21190|007267
MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED|Bank of America Corporation|BAC (NYSE)|11/1/2010|Current|3151|007647
MF GLOBAL INC.|MF Global Holdings Ltd.|N/A|2/2/2011|10/31/2011|52536|177745
MIDLAND-MONTAGU GOV. SEC.,INC.|HSBC Holdings plc (historical)|HSBA (LSE)|8/13/1975|7/26/1990|35175|015509
MIZUHO SECURITIES USA INC.|Mizuho Financial Group, Inc.|8411 (Tokyo)|4/1/2002|Current|51429|248136
MORGAN STANLEY & CO. LLC|Morgan Stanley Group Inc.|MS (NYSE)|2/1/1978|Current|21224|012124
NationsBanc|NationsBank Corporation|N/A|7/6/1993|5/16/1999||
Nesbitt Burns|Bank of Montreal|BMO (NYSE, TSX)|6/1/1995|2/14/2000|29146|015580
THE NIKKO SECURITIES CO. INT|Nikko Securities Co., Ltd.|8601|12/22/1987|1/3/1999||
NOMURA SECURITIES INTERNATIONAL, INC.|Nomura Holdings, Inc.|8604 (Tokyo)|7/27/2009|Current|42522|015613
NOMURA SECURITIES INTERNATIONAL,INC|Nomura Holdings, Inc.|8604 (Tokyo)|12/11/1986|11/30/2007|42522|015613
Northern Trust|Northern Trust Corporation|NTRS (NASDAQ)|8/8/1973|5/29/1986|3275|007982
NUVEEN GOV'T SEC. INC.|Nuveen Corporation|N/A|11/18/1971|8/27/1980||
NY Hanseatic|N/A|N/A|2/8/1984|7/26/1984||
Paine Webber|PaineWebber Group Inc.|UBSG (SIX Swiss Ex)|6/22/1972|6/27/1973|21359|008299
Paine Webber|PaineWebber Group Inc.|UBSG (SIX Swiss Ex)|11/25/1976|12/4/2000|21359|008299
PARIBAS CORPORATION|BNP Paribas Group|BNP (Euronext Paris)|5/1/1997|9/14/2000||
WM. E. POLLOCK GOV'T SECURITIES,INC|WESTPAC BANKING CORP|WEBNF|5/19/1960|2/3/1987|22027|015362
PRUDENTIAL-BACHE|Prudential Financial Inc.|PRU (NYSE)|10/29/1975|12/1/2000|42524|143356
REFCO PARTNERS|Refco Group Ltd.|N/A|11/19/1980|5/7/1987|47194|163770
Robertson Stephens|BANKBOSTON CORP|BKB.2|10/1/1997|9/30/1998|20264|002014
RBC CAPITAL MARKETS, LLC|ROYAL BANK OF CANADA|RY (NYSE, TSX)|7/8/2009|Current|29151|015633
SMITH BARNEY, HARRIS UPHAM & CO.,INC|PRIMERICA INC|PRI|5/19/1960|4/6/2003|22177|001414
SANWA SECURITIES (USA) CO., L|Sanwa Bank Ltd.|N/A|6/20/1988|7/20/1998||
SBC WARBURG DILLON READ INC.|Swiss Bank Corporation (SBC)|SBC|3/29/1990|6/28/1998||
SECOND DISTRICT SECURITIES CO., INC|N/A|N/A|6/15/1961|8/27/1980||
Securities Groups|N/A|N/A|5/19/1960|6/5/1983||
SECURITY PACIFIC NATIONAL BANK|Security Pacific Corporation|6020|12/11/1986|1/17/1991|4205|009577
SG AMERICAS SECURITIES, LLC|Société Générale S.A.|GLE (Euronext Paris)|2/2/2011|Current||
SG COWEN SECURITIES CORP.|Société Générale S.A.|GLE (Euronext Paris)|7/1/1999|10/31/2001||
S.G. WARBURG & CO., INC.|S.G. Warburg Group PLC|UBS (NYSE)|6/24/1988|7/26/1995||
SMITH BARNEY, HARRIS UPHAM & CO.,INC|Primerica Corporation|PRI|8/22/1979|8/31/1998|22177|001414
SOUTHERN CALIF S&L ASSOC|California Federal Savings and Loan Association|N/A|6/7/1983|8/5/1983|5884|002612
TD SECURITIES (USA) LLC|The Toronto-Dominion Bank|TD (NYSE, TSX)|2/11/2014|Current|29152|015706
RBS SECURITIES INC.|The Royal Bank of Scotland Group PLC|N/A|4/1/2009|Current||
THOMSON MCKINNON SECURITIES INC.|Thomson McKinnon Group Inc.|N/A|12/11/1986|7/7/1989||
UBS SECURITIES LLC.|UBS Group AG|UBSG (SIX Swiss Ex)|12/7/1989|Current|37504|144496
WEEDEN & CO., INC.|Merrill Lynch & Co., Inc.|N/A|6/17/1976|5/15/1978|21190|007267
WERTHEIM SCHRODER & CO., INC.|Schroder Wertheim & Co. Inc.|N/A|6/24/1988|11/8/1990||
WESTPAC POLLOCK GOV'T SECURITIES INC|Westpac Banking Corporation|WBK (NYSE)|2/4/1987|6/27/1990|22027|015362
WHITE, WELD & CO INC.|Merrill Lynch & Co., Inc.|N/A|2/26/1976|4/18/1978|21190|007267
YAMAICHI INT'L (AMERICA), INC.|Yamaichi Securities Company Limited|N/A|9/29/1988|12/4/1997||
Zions|Zions Bancorporation|ZION (NASDAQ)|8/11/1993|3/31/2002|21305|008007